bus_name,address,city,state,tax_year,revenue,explanation
PAWS AND CLAWS INC DBAPAWS AND CLAWS HUMANE SOCIETY,3224 19TH STREET NW,ROCHESTER,MN,2012,1240217,"BOARD TREASURER MISAPPROPRIATED SOME OF THE ORGANIZATION'S FUNDS FOR PERSONAL EXPENSES. THIS DISCOVERY WAS MADE SUBSEQUENT TO THE CURRENT YEAR END, WHICH DELAYED THE AUDIT OF THE FINANCIAL STATEMENTS AND FILING OF THE FORM 990."
PAWS AND CLAWS INC DBAPAWS AND CLAWS HUMANE SOCIETY,3224 19TH STREET NW,ROCHESTER,MN,2013,482916,FORMER BOARD TREASURER MISAPPPROPRIATED SOME OF THE ORGANIZATION'S FUNDS FOR PERSONAL EXPENSES.
PILLSBURY BAPTIST BIBLE COLLEGE,305 S PAYNE ST,NEW ULM,MN,2011,306765,"THE PILLSBURY FORECLOSURE PROCESS WAS COMPLETED DURING THE FISCAL YEAR ENDED JUNE 30, 2012, AND THE ORGANIZATION HAS WRAPPED UP ITS FINAL AFFAIRS."
PORTABLE SANITATION ASSOCIATION INTERNATIONAL,7760 FRANCE AVENUE SOUTH 11TH FLOOR,MINNEAPOLIS,MN,2011,550856,"IN THE FALL OF 2011, THE ORGANIZATION BECAME AWARE OF A MATERIAL DIVERSION OF IT'S ASSETS. THE INDIVIDUAL SERVING AS THE EXECUTIVE DIRECTOR WAS ILLEGALLY MISAPPROPRIATING THE ORGANIZATION'S ASSETS. ONCE THE ORGANIZATION AND BOARD OF DIRECTORS BECAME AWARE OF THE ILLEGAL ACTS, THEY COMPLETELY SEVERED TIES WITH THEIR EXECUTIVE DIRECTOR, AND ANY OTHER EMPLOYEES SUSPECTED OF POSSIBLE COLLUSION."
PROJECT MANAGEMENT INSTITUTE - MINNESOTA CHAPTER,C/O NONPROFIT SOLTN 1821 UNIVERSITY AVE NO S256,ST PAUL,MN,2010,556715,"IN 2009 PMI CONTRACTED WITH AN OUTSIDE VENDOR TO MANAGE THE EVENT REGISTRATION PROCESS FOR THE ORGANIZATION. DUE TO POOR SERVICES, PMI DECIDED TO NO LONGER WORK WITH THIS VENDOR. AT THAT TIME, IT WAS DISCOVERED THAT THE VENDOR DID NOT HAVE THE FUNDS SEGREGATED IN A SEPARATE ESCROW ACCOUNT, AS REQUIRED BY CONTRACT. THE OUTSIDE VENDOR SUBSEQUENTLY CEASED OPERATIONS AND DID NOT HAVE THE FUNDS TO PAY THE AMOUNT OWED. IN 2010 THE AMOUNT OWED PMI WAS WRITTEN OFF AS BAD DEBT EXPENSE."
RANGE WOMENS ADVOCATES,301 FIRST STREET SOUTH,VIRGINIA,MN,2011,342495,ONGOING INVESTIGATION OF MISAPPROPRIATED FUNDS
RIPPLE INC,PO BOX 552,HOPKINS,MN,2014,425399,"DURING THE TAX YEAR, UNDER A COMPLETELY DIFFERENT BOARD OF DIRECTORS, $50,000 WAS INAPPROPRIATELY LOANED TO ANOTHER ORGANIZATION WITHOUT BEING DISCLOSED OR REPORTED IN ACCOUNTING RECORDS. ALL MONEY WAS RETURNED AND THERE WAS NO MATERIAL LOSS. THE CLUB NOW REQUIRES ACCESS TO BANK STATEMENTS BY SEVERAL INDIVIDUALS (PREVIOUSLY ONLY ONE INDIVIDUAL HAD ACCESS TO BANK STATEMENTS). MONTHLY REPORTING OF ALL BANK BALANCES AND RECONCILIATION TO GENERAL LEDGER IS ALSO REQUIRED AT MONTHLY BOARD MEETINGS."
ROSEMOUNT AREA ATHLETIC ASSOCIATION,PO BOX 134,ROSEMOUNT,MN,2013,797358,"THE BOARD BECAME AWARE OF A MATERIAL DIVERSION OF ASSETS, WHICH IS CURRENTLY BEING INVESTIGATED."
SPORTSMENS CLUB SAUK RAPIDS I,PO BOX 32,SAUK RAPIDS,MN,2014,-2444,"THE ORGANIZATION BECAME AWARE THAT DURING 2014 6,470 OF CHARITABLE GAMING START BANK AND PROCEEDS WAS MISSING."
TWIN CITIES MEDIA ALLIANCE,2600 EAST FRANKLIN AVENUE SUITE 2,MINNEAPOLIS,MN,2015,175394,"ADJUSTMENT MADE TO CORRECT DEFERRED REVENUE IMPROPERLY RECORDED AS REVENUE ON THE FORM 990 FOR THE YEAR ENDED DECEMBER 31, 2014."
WEST ST PAUL YOUTH ATHLETIC ASSOCIATION,PO BOX 18097,WEST ST PAUL,MN,2012,297409,THE ORGANIZATION HAS FOUND AN EMBEZZLEMENT AND IS CURRENTLY INVESTIGATING IT.
ACADEMIE LAFAYETTE,6903 OAK ST,KANSAS CITY,MO,2011,7527506,"FRAUDULENT ACTIVITY WAS DISCOVERED IN THE ADMINISTRATION OFFICE DURING THE 11-12 TAX YEAR. ALTHOUGH NOT MATERIAL IN NATURE, EMPLOYEE THEFT OCCURRED. TRANSPARENCY IS A CRITICAL VALUE OF THE SCHOOL AND ALTHOUGH INTERNAL CONTROLS WERE IN PLACE, THEY WERE NOT SUFFICIENT. IMMEDIATELY UPON DISCOVERY, THE EMPLOYEE WAS TERMINATED AND REPORTED TO THE POLICE. THE SCHOOL IMMEDIATELY IMPLEMENTED IMPROVED CONTROLS AND PROCESSES TO AFFIRM THE COMMITTMENT TO PREVENTING FRAUD AND PROTECTING THE SCHOOLS RESOURCES."
AGAPE HELP HOUSE OF PACIFIC,120 LAMAR PARKWAY,PACIFIC,MO,2015,368967,THE EXECUTIVE DIRECTOR IS BEING PROSECUTED FOR MISAAPROIATED FUNDS FROM THE CHECKING ACCOUNT.
AIDS SERVICE FOUNDATION OF GREATER KANSAS CITY,PO BOX 32192,KANSAS CITY,MO,2013,601855,"THE AIDS SERVICE FOUNDATION OF GREATER KANSAS CITY (ASF) DISCOVERED A DIVERSION OF ASSETS TOTALING $60,728.50, WHICH OCCURRED FROM 2010 UNTIL 2013. A PROMISSORY NOTE HAS BEEN EXECUTED WITH THE INDIVIDUAL RESPONSIBLE FOR THE DIVERSION AND ALL AMOUNTS OWED TO ASF DUE TO THE DIVERSION WILL BE REPAID BY EARLY 2019. AS OF THE DATE OF THIS FILING, REPAYMENT HAS BEEN MADE ON SCHEDULE. IN ADDITION, NEW FINANCIAL POLICIES AND PROCEDURES HAVE BEEN ADOPTED BY THE BOARD OF DIRECTORS OF ASF AIMED AT ADDRESSING ANY PROCEDURAL FINANCIAL SHORTCOMINGS."
AMERICA SCORES ST LOUIS,4236 LINDELL BLVD NO 204,ST LOUIS,MO,2013,194009,"DURING THE YEAR ENDED AUGUST 31, 2014, MANAGEMENT DETERMINED THAT A THEFT OF APPROXIMATELY $77,500 HAS OCCURRED AT AMERICA SCORES ST. LOUIS. THE ORGANIZATION IS IN THE PROCESS OF FINALIZING A CLAIM FOR REIMBURSEMENT THROUGH THEIR INSURANCE CARRIER. ALTHOUGH THE ORGANIZATION BELIEVES THAT THEY ARE ENTITLED TO REIMBURSEMENT BASED UPON THEIR INSURANCE COVERAGE, THERE IS NO GUARANTEE THAT SUCH REIMBURSEMENT WILL BE APPROVED BY THEIR CARRIER. THE AMOUNT RECOVERED FROM THE ORGANIZATION'S INSURANCE CARRIER, IF ANY, WILL BE RECOGNIZED IN THE FINANCIAL STATEMENTS UPON THE DATE OF THE SETTLEMENT. THE ORGANIZATION ALSO INTENDS TO FILE FORMAL CHARGES AGAINST THE INDIVIDUAL INVOLVED IN THE THEFT. THE ULTIMATE RESOLUTION OF THESE CLAIMS CANNOT BE MADE AT THIS TIME. THIS MATTER IS CURRENTLY UNDER INVESTIGATION BY THE INSURANCE COMPANY AND THE ORGANIZATION HAS NOT YET FILED ANY FORMAL CHARGES WITH ANY GOVERNMENT AUTHORITIES."
BAYER CREDIT UNION,8400 HAWTHORNE ROAD,KANSAS CITY,MO,2010,345299,"IN 2010, THE CREDIT UNION DISCOVERED THAT AN EMPLOYEE FORGED DOCUMENTS AND EMBEZZLED FUNDS FROM THREE MEMBER ACCOUNTS TOTALING $155,450. THIS CASE REMAINS UNDER INVESTIGATION. IN THE MEANTIME, THE SUPERVISORY COMMITTEE PERFORMED AN ADDITIONAL AUDIT OF ACCOUNT HOLDERS, MEMBERS WERE REMINDED OF THEIR RESPONSIBLITY TO REVIEW ACCOUNT ACTIVITY, AND THE PRESIDENT IS REVIEWING TELLER REPORTS DAILY FOR UNUSUAL ACTIVITY."
BENEVOLENT & PROTECTIVE ORDER OF ELKS LODGE,P O BOX 391,EXCELSIOR SPRINGS,MO,2013,105662,BOARD MEMBERS OF THE ELKS LODGE BECAME AWARE OF A RANKING MEMBER WHO WAS NOT FOLLOWING HIS PRESCRIBED RESPONSIBILITES. THERE IS SUSPICION THAT THIS MEMBER MAY HAVE USED FUNDS FOR HIS OWN GAIN THOUGH THIS CANNOT BE PROVEN IN A COURT OF LAW.
BLOOMSDALE SENIOR APARTMENTS INC,13996 NEW OFFENBURG ROAD,STE GENEVEIVE,MO,2014,67453,"FIXED ASSETS OF THE CORPORATION WERE SOLD AND THE REMAINING NET ASSETS OF THE CORPORATION WERE TRANSFERRED TO EAST MISSOURI ACTION AGENCY, INC., A MISSOURI NON-PROFIT CORPORATION."
CENTER FOR LIFE SOLUTIONS INC,637 DUNN ROAD,HAZELWOOD,MO,2009,2022724,"IN 2010 THE CENTER FOR LIFE SOLUTIONS BECAME AWARE OF A SIGNIFICANT DIVERSION OF THE ORGANIZATION'S ASSETS. A TOTAL OF $68,684 IN ASSETS WERE DIVERTED OVER THE PAST FOUR YEARS FOR PERSONAL USE BY ONE OF OUR ADMINISTRATORS THROUGH THE USE OF FAKE VENDOR ACCOUNTS AND PAYROLL MANIPULATION. THE APPROPRIATE AUTHORITIES WERE NOTIFIED, OUR INSURANCE CARRIER WAS NOTIFIED, AND THE PERSON INVOLVED HAS SUBSEQUENTLY BEEN QUESTIONED BY THE POLICE, AND CRIMINAL PROSECUTION IS BELIEVED TO BE IMMINENT. WITH THE HELP OF OUR NEW OUTSIDE ACCOUNTANTS, WE HAVE DEVELOPED INTERNAL CONTROLS WHICH WE BELIEVE WILL ELIMINATE THE LIKELIHOOD OF SUCH DIVERSIONS OCCURRING IN THE FUTURE."
CENTER FOR LIFE SOLUTIONS INC,637 DUNN ROAD,HAZELWOOD,MO,2010,2168896,"PRIOR TO 7/1/2010 AND CONTINUING THROUGHOUT THE FIRST FEW MONTHS OF THE CURRENT TAX YEAR, THE CENTER FOR LIFE SOLUTIONS BECAME AWARE OF A SIGNIFICANT DIVERSION OF THE ORGANIZATION'S ASSETS. A TOTAL OF $68,684 IN ASSETS WERE DIVERTED OVER THE PAST FOUR YEARS FOR PERSONAL USE BY ONE OF OUR ADMINISTRATORS THROUGH THE USE OF FAKE VENDOR ACCOUNTS AND PAYROLL MANIPULATION. THE APPROPRIATE AUTHORITIES WERE NOTIFIED, OUR INSURANCE CARRIER WAS NOTIFIED, AND THE PERSON INVOLVED HAS SUBSEQUENTLY BEEN QUESTIONED BY THE POLICE, AND CRIMINAL PROSECUTION IS BELIEVED TO BE IMMINENT. WITH THE HELP OF OUR NEW OUTSIDE ACCOUNTANTS, WE HAVE DEVELOPED INTERNAL CONTROLS WHICH WE BELIEVE WILL ELIMINATE THE LIKELIHOOD OF SUCH DIVERSIONS OCCURRING IN THE FUTURE."
CENTER FOR WOMEN IN TRANSITION,7529 SOUTH BROADWAY,ST LOUIS,MO,2011,1069583,"THE ORGANIZATION TERMINATED AN EMPLOYEE, WHO HAS BEEN CHARGED WITH EMBEZZLING, AND THE AMOUNT LOST FOR THE CURRENT YEAR IS $106,938. THE CASE HAS BEEN RESOLVED WITH A GUILTY PLEA."
CENTER PLACE IMPROVEMENT INC,1579 NE RICE ROAD,LEES SUMMIT,MO,2011,910570,"THE BOARD BECOME AWARE THAT HUD MAD A DETERMINATION THAT MANAGEMENT FEE WAS OVERPAID IN PREVIOUS YEARS AND THAT THE AMOUNT OF THE PAYMENT WAS DETERMEINED TO BE 109,323."
COVENANT NETWORK OF PRESBYTERIANS,3210 MICHIGAN AVE SUITE 300,KANSAS CITY,MO,2012,248204,"IN SEPTEMBER 2012, MANAGEMENT BECAME AWARE OF FRAUD BEING COMMITTED BY A WORKER FROM A TEMPORARY AGENCY. THE PERSON WAS DISMISSED IMMEDIATELY. THE AMOUNT OF FRAUDULENT CHECKS WRITTEN WAS $10,998. THE FRAUD WAS REPORTED TO THE BANK WHERE THE ACCOUNT IS HELD. THE BANK REIMBURSED THE ORGANIZATION FOR THE FULL AMOUNT OF THE FRADULENT CHECKS WRITTEN. THE CASE HAS BEEN TURNED OVER TO THE PROSECUTORS."
DELLA LAMB COMMUNITY SERVICES,500 WOODLAND,KANSAS CITY,MO,2013,14270741,"IN JULY 2013, THE ORGANIZATION DISCOVERED THAT A FORMER EMPLOYEE OF THE ORGANIZATION IMPROPERLY USED BUSINESS CREDIT CARDS FOR PERSONAL PURCHASES. THE TOTAL AMOUNT OF UNREIMBURSED EXPENSE TOTALED $250,831 FOR THE PERIOD 2011 TO 2013. THE ORGANIZATION COULD NOT RECOVER THE FUNDS FROM THE FORMER EMPLOYEE DUE TO HIS DEATH PRIOR TO THE DISCOVERY. HOWEVER, THE ORGANIZATION RECEIVED INSURANCE PROCEEDS FOR THE ENTIRE LOSS OF FUNDS LESS THE $1,000 DEDUCTIBLE. IN 2013, INTERNAL PROCEDURES WERE REVISED FOR THE ISSUANCE AND CONTROL OF BUSINESS CREDIT CARDS."
ETHICAL SOCIETY OF POLICE,PO BOX 4635,ST LOUIS,MO,2014,85454,DURING THE 2014 TAX YEAR THE CURRENT BOARD OPENED AN INTERNAL INVESTIGATION INTO THE UNAUTHORIZED SPENDING MADE BY THE BOARD PRESIDENT. THE INVESTIGATION REMAINS OPEN AND IS ONGOING AT THIS TIME.
FOOTPRINTS INC,4501 TROOST AVE,KANSAS CITY,MO,2011,232934,THE ORGANIZATION BECAME AWARE OF A DIVERSION OF ASSETS DURING THE YEAR. THE ORGANIZATION REPORTED THE DIVERSION AS 2011 COMPENSATION TO THE INDIVIDUAL WHO DIVERTED THE ASSETS. THE INDIVIDUAL WHO DIVERTED THE ASSETS PASSED AWAY DURING 2011.
IBEW LOCAL UNION 545,421 SOUTH 8TH STREET,ST JOSEPH,MO,2014,698412,"IN 2014, DURING THE COURSE OF ITS ANNUAL AUDIT, THE UNION DISCOVERED THAT FORMER BUSINESS MANAGER DENNIS FUSTON MADE IMPROPER AND UNAUTHORIZED USES OF UNION FUNDS DURING HIS TENURE AS BUSINESS MANAGER. IN PARTICULAR, IT WAS DISCOVERED THAT MR. FUSTON WAS USING PETTY CASH AND THE UNION CREDIT CARD FOR PERSONAL USE. AFTER FURTHER INVESTIGATION, MR. FUSTON WAS FORCED TO RESIGN. IBEW 545 ENGAGED THE SERVICES OF AN INDEPENDENT AUDITOR TO VERIFY AND DISCOVER THE EXTENT OF THE LOSS. THE DEPARTMENT OF LABOR ALSO PERFORMED AN INVESTIGATION. THAT INVESTIGATION CONCLUDED IN JANUARY 2015 AND RESULTED IN CRIMINAL CHARGES AGAINST MR. FUSTON FILED IN THE CIRCUIT COURT OF BUCHANAN COUNTY, MISSOURI. LOCAL 545 HAS FILED A BOND CLAIM IN THE AMOUNT OF $24,227.72 AND HAS ALSO MADE A CLAIM FOR RESTITUTION IN THE CRIMINAL CASE AGAINST MR. FUSTON. BOTH THE BOND CLAIM AND THE CRIMINAL CHARGES REMAIN PENDING."
KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES,1750 INDEPENDENCE AVENUE,KANSAS CITY,MO,2009,51011143,"AS REPORTED IN SCHEDULE L, THE ORGANIZATION BELIEVES THAT THERE HAS BEEN A MATERIAL DIVERSION OF THE ORGANIZATION'S ASSETS BY THE CEO, KAREN PLETZ. THE ORGANIZATION IS TREATING THE EXCESS BENEFIT TRANSACTIONS REPORTED IN SCHEDULE L AS A MATERIAL DIVERSION. AS DISCLOSED ON SCHEDULE L, THE ORGANIZATION HAS FILED A LAWSUIT AGAINST THE CEO TO RECOVER THE DIVERTED ASSETS."
MERSMISSOURI GOODWILL INDUSTRIES,1727 LOCUST STREET,ST LOUIS,MO,2010,107951538,"DURING 2010, THE ORGANIZATION BECAME AWARE OF A MEMBER OF MANAGEMENT EMBEZZLING FUNDS OF APPROXIMATELY $1,100,000 OVER A THREE YEAR PERIOD. $1,000,000 OF THE EMBEZZLEMENT WAS REIMBURSED BY INSURANCE BEFORE 12/31/10."
PURE WORD COMMUNICATIONS,254 SOUTH SILVER SPRINGS ROAD,CAPE GIRARDEAU,MO,2016,279383,IT WAS DISCOVERED IN 2016 THAT THE FORMER MANAGER OF THE ORGANIZATION HAD EMBEZZLED FUNDS BY PAYING PERSONAL EXPENSES OUT OF THE ORGANIZATIONS BANK ACCOUNTS.
ST LOUIS BLACK LEADERSHIP ROUNDTABL,PO BOX 24868,SAINT LOUIS,MO,2014,22776,MEMBERS OF THE GOVERNING BODY FINANCE COMMITTEE AND THE BOARD ARE RESPONSIBLE AND OVERSEE THE ORINIZATION.
ST LOUIS BLACK REPERTORY CO,6662 OLIVE BLVD,SAINT LOUIS,MO,2014,586193,"THE ORGANIZATION BECAME AWARE OF A SIGNIFICANT DIVERSION OF ASSETS THROUGH A MISAPPROPRIATION OF FUNDS OCCURRING IN THE CURRENT AND PRIOR TAX PERIODS. THE BOARD MEMBERS AND MANAGEMENT WERE NOTIFIED OF IMPROPER CASH WITHDRAWALS BY EMPLOYEE(S) OF THE COMPANY. THE CASH WITHDRAWAL TRANSACTIONS WERE NOT SUPPORTED BY DOCUMENTATION IMPLYING EMBEZZLEMENT OR MISAPPROPRIATION. THE INVESTIGATION DETERMINED $176,424 WAS WITHDRAWN FROM THE BANK DURING THE FISCAL PERIOD JULY 1, 2014 TO JUNE 30, 2015. THE BANK STATEMENTS REPORTED EMPLOYEE(S) WITHDRAWING FUNDS IN CASH AND THERE WAS NO SUPPORTING DOCUMENTATION OF THE WITHDRAWAL ACTIVITY."
ST LUKES HOSPITAL OF KANSAS CITY,4401 WORNALL ROAD,KANSAS CITY,MO,2015,748394185,"THE BOARD OF DIRECTORS IS MADE UP OF MEDICAL AND BUSINESS PROFESSIONALS, ALMOST ALL OF WHOM RESIDE IN THE HOSPITAL'S PRIMARY SERVICE AREA. THEY ARE INVOLVED IN THE COMMUNITY NEEDS ASSESSMENT PROCESS AND IN GENERAL STEWARDSHIP. MEDICAL STAFF PRIVILEGES ARE OFFERED TO ALL QUALIFIED PHYSICIANS IN THE COMMUNITY.THE HOSPITAL UTILIZES SURPLUS FUNDS TO MAINTAIN ACCESS TO PATIENT SERVICES AND TO EXPAND ACCESS POINTS OF CARE TO PATIENTS THROUGHOUT THE COMMUNITY INCLUDING, BUT NOT LIMITED TO, THE FOLLOWING: 1) COMMUNITY SERVICE OUTPATIENT CLINICS THAT PROVIDE SUBSIDIZED CARE TO LOW INCOME PATIENTS; 2) DIABETES EDUCATION PROGRAMS, PARENT EDUCATION, AND PRENATAL EDUCATION; 3) PSYCHIATRIC SERVICES; AND 4) FORMAL RESEARCH ACTIVITIES.IN JUNE 2015, THE ORGANIZATION BECAME AWARE OF AN UNAUTHORIZED DIVERSION OF ASSETS OF $1,224,265 THAT WAS DIVERTED OVER SEVERAL YEARS PRECEDING THE DATE OF DISCOVERY. THE DIVERSION WAS BY A LAW FIRM HIRED TO PERFORM COLLECTIONS WORK ON OPEN PATIENT ACCOUNTS. UPON DISCOVERING THE DIVERSION, THE ORGANIZATION TERMINATED ITS RELATIONSHIP WITH THE LAW FIRM, NOTIFIED THE AUDIT COMMITTEE AND SAINT LUKE'S HEALTH SYSTEM'S BOARD OF DIRECTORS, TRANSFERRED ALL OPEN CASES TO NEW COLLECTIONS COUNSEL, PERFORMED A RECONCILIATION AUDIT ON THE ACCOUNTS, COOPERATED FULLY WITH THE SUBSEQUENT LAW ENFORCEMENT INVESTIGATION, AND DEVELOPED TIGHTER INTERNAL CONTROLS ON ITS MONITORING OF COLLECTIONS COUNSEL. THE ORGANIZATION IS ACTIVELY PURSUING COMPENSATION THROUGH APPLICABLE INSURANCE POLICIES AND COURT AWARDED RESTITUTION PAYMENTS."
ST PETERS CHAMBER OF COMMERCE,2201 FIRST CAPITOL DRIVE,ST CHARLES,MO,2011,67265,"THE FORMER PRESIDENT AND CEO RESIGNED FROM HIS POSITION IN SEPTEMBER 2011. IN THE MONTHS AFTER HIS LEAVING THE CHAMBER, IT WAS DISCOVERED THAT THE FORMER PRESIDENT HAD BEEN WRITING CHECKS TO HIMSELF STARTING IN 2007 AND ENDING IN SEPTEMBER 2011. CHARGES HAVE BEEN FILED BY ST. CHARLES COUNTY PROSECUTORS."
THE BOARD FOR INNER CITY MISSIONS OF THE UNITED CHURCH OF CHRIST METRO ST LOUIS,5621 DELMAR BLVD NO 104,ST LOUIS,MO,2013,2854335,"DURING 2013, THE ORGANIZATION DETERMINED THAT A THIRD PARTY CONTRACTOR (THE CONTRACTOR) FAILED TO REMIT PAYROLL TAXES AND CERTAIN OTHER ITEMS TO THE APPLICABLE AUTHORITIES THAT THE CONTRACTOR HAD COLLECTED FROM OR ON BEHALF OF THE ORGANIZATION. THE TOTAL AMOUNT OF LOSSES AND COSTS INCURRED RELATED TO THIS ISSUE AMOUNTED TO $105,328 FOR THE YEAR ENDED DECEMBER 31, 2013. THE PORTION OF THESE TAXES AND OTHER ITEMS THAT WERE UNPAID AND INCLUDED IN ACCOUNTS PAYABLE AND ACCRUED EXPENSES AT DECEMBER 31, 2013 AMOUNTED TO $89,579, ALL OF WHICH WERE SUBSEQUENTLY PAID BY THE ORGANIZATION IN 2014. THE ORGANIZATION HAS COMMENCED LEGAL PROCEEDINGS AGAINST THE CONTRACTOR AND ITS PRINCIPAL TO RECOVER THE LOSSES AND COSTS THAT WERE INCURRED AS A RESULT OF CONTRACTORS ACTS OR FAILURES TO ACT."
TRI-COUNTY COMMUNITY SENIOR CENTER INC,800 WEST UNION,PACIFIC,MO,2010,74442,SOME SPECIFIC GRANT FUNDS WERE NOT ALL SPENT FOR THE INTENDED PURPOSE.
WENTZVILLE COMMUNITY CLUB INC,PO BOX 291 500 WEST MAIN,WENTZVILLE,MO,2015,311039,"IN LATE FEBRUARY 2016, THE CLUB BECAME AWARE OF A POSSIBLE DIVERSION OF ASSETS PRIMARILY RELATED TO THE HANDLING OF STARTING AND PETTY CASH OVER ITS KITCHEN OPERATIONS. IN LATE OCTOBER, 2016 THE CLUB ESTIMATED THAT APPROXIMATELY $120,000 OF FUNDS WERE DIVERTED FROM OPERATIONS FOR 2015 (AND APPROXIMATELY $66,000 OF DIVERTED FUNDS FOR 2014). THE $120,000 ASSET DIVERSION HAS BEEN REFLECTED AS A LOSS IN 2015 (PART XI, LINE 9). AS A RESULT OF THIS SITUATION, THE CLUB IMPLEMENTED NEW AND EXPANDED ACCOUNTING AND CASH PROCEDURES TO STRENGTHEN INTERNAL CONTROLS OVER THE CLUB'S ASSETS."
WHOLE KIDS OUTREACH,62143 HIGHWAY 21,ELLINGTON,MO,2015,1062778,"THE ORGANIZATION BECAME AWARE THAT ITS BOOKEEKPER HAD USED THE ORGANIZATIONS CREDIT CARDS FOR PERSONAL PURPOSES. BOOKKEEPER WAS IMMEDIATELY DISMISSED AND AN INDEPENDENT AUDITOR WAS ENGAGED TO REVIEW THE FINDINGS OF ORGANIZATION EMPLOYEES. THE EMPLOYEES IDENTIFIED A TOTAL OF 67,282.29 THAT WERE CONSIDERED TO BE OUTSIDE OF THE POLICIES OF THE ORGANIZATION AND WOULD NOT HAVE BEEN AUTHORIZED BY MANAGEMENT. THE INDEPENDENT AUDITOR ALSO MADE A REVIEW TO DETERMINE THE ACTIVITY WHICH WAS UNAUTHORIZED AND FRAUDULENTLY REPORTED OR OMITTED FROM ACCOUNTING TO THE MANAGMENT OR THE OVERSIGHT BOARD. THE INDEPENDENT AUDITOR CONCLUDED THAT OF THE 67,282.29 OF DIVERTED FUNDS 45,455.39 WERE REPORTED ON THE COMPANY BOOKS IN A FRAUDULENT WAY SO AS TO MISLEAD MANAGEMENT. THE TOTAL AMOUNT OF ITEMS MISREPORTED WAS 45,259.97, AND OF COURSE WERE INACCURATELY RECORDED AS A DIFFERENT AMOUNT. THE ENTIRE MATTER WAS REFERRED TO THE FEDERAL BUREAU OF INVESTIGATION AND TO THE REYNOLDS COUNTY MISSOURI SHERRIFF."
ANCHOR WATER ASSOCIATION INC,95 CR 369,OXFORD,MS,2014,228951,"TAXPAYER BECAME AWARE OF SIGNIFICANT CASH SHORTAGES BASED ON TOTAL REVENUE COLLECTED COMPARED TO CASH DEPOSITED. SUBSEQUENT TO THIS TAX YEAR, THE BOARD BEGAN A FORMAL INVESTIGATION TO DETERMINE IF CRIMINAL CHARGES SHOULD BE FILED. THE ORGANIZATION'S SOLE EMPLOYEE HAS BEEN TERMINATED. THE BOARD IS CURRENTLY REVIEWING ITS CASH COLLECTIONS AND DEPOSIT PROCEDURES."
COMMUNITY FOUNDATION OF EAST MISSISSIPPI,P O BOX 865,MERIDIAN,MS,2013,558550,"THE FOUNDATION BOARD DISCOVERED IN EARLY 2014 THAT THE DIRECTOR WAS EMBEZZLING FROM THE FOUNDATION. THE BOARD IMMEDIATELY TURNED THE MATTER OVER TO THE SECRETARY OF STATE WHO PERFORMED A FULL INVESTIGATION AND THEN TURNED THE MATTER OVER TO THE COUNTY DISTRICT ATTORNEY. THE DIRECTOR TURNED IN FRAUDELENT EXPENSE REPORTS, WAS MAKING UNSUBSTANTIAED DEBIT CARD PURCHASES (WHICH INCLUDED DEBIT CARD USE TO THE POST OFFICE FOR MONEY ORDERS AND CASH BACK TRANSACTIONS),AND FALSIFIED INVOICES TO RECEIVE REIMBURSEMENT FOR BILLS PAID PERSONALLY. THIS WAS DETERMINED TO HAVE OCCURRED IN 2012 AND 2013. THE 2012 AMOUNT DETERMINED BY THE SECRETARY OF STATE WAS 34,174 AND THE 2013 AMOUNT WAS 44,484. THE INDEPENDENT AUDITORS DETERMINED THAT THE 2012 AMOUNT WAS IMMATERIAL TO THE FINANCIAL STATEMENTS AS A WHOLE AND DID NOT REQUIRE THEM TO RESTATE THESE AUDITED FINANCIAL STATEMENTS. THE 2013 AMOUNT WAS INCLUDED IN THE AUDITED FINANCIAL STATEMENTS AS ""FRAUD EXPENSE"" ON THE AUDIT REPORT. THE SECRETARY OF STATE DID NOT FINE THE FOUNDATION BECAUSE THEY REPORTED THE INCIDENT IMMEDIATELY UPON DISCOVERY AND WERE COOPERATIVE IN THE INVESTIGATION. THE DIRECTOR WAS TERMINATED IN FEBRUARY 2014 AND IS CURRENTLY UNDER INDICTMENT BY THE DISTRICT OF ATTORNEY. THE DIRECTOR HAS ENTERED A PLEA OF GUILTY AND HAS MADE A BLIND PLEA FOR RESTITUTION IN THE AMOUNT OF 34,000. THE JUDGE HAS NOT YET RULED ON THIS MATTER AS OF THE FILING DATE OF THIS RETURN."
